"Value","Count"
"8","1038"
"9","547"
"10","141"
"7","46"
"11","39"
"12","31"
"6","25"
"8.5","5"
"24","2"
"9.5","2"
"13","2"
"8.3","2"
"4","1"
"9.3","1"
"14","1"
