"field","original","canonical"
"companyType","supplier","Supplier"
"companyType","Manufacturer","Manufacturing"
"companyType","Contracting","Contractor"
"companyType","Sub-Contractor","Contractor"
"companyType","Supervision Consultant","Consultant"
"companyType","خدمات هندسية","Consultant"
"companyType","مقاولات","Contractor"
