"Value","Count"
"EGP","1450"
"SAR","342"
"USD","66"
"AED","29"
"KWD","5"
"JOD","4"
"IQD","2"
"دينار لي","2"
"JOR","1"
"ETB","1"
"QAR","1"
"دينار","1"
"NAIRA","1"
"جنية سود","1"
"UAD","1"
"ARD","1"
"QR","1"
"UAE DIRH","1"
"JD","1"
"OMR","1"
"EUR","1"
"NIS / SH","1"
"YER","1"
"70% EGP","1"
"INR","1"
"UAE","1"
"SYR","1"
