"Value","Count"
"Egypt","1495"
"Saudi Arabia","326"
"الامارات","40"
"سوريا","11"
"ليبيا","5"
"الاردن","4"
"العراق","4"
"الكويت","4"
"Iraq","3"
"اليمن","3"
"لبنان","2"
"سورية","2"
"قطر","2"
"Back Office Saudi","2"
"فلسطين","2"
"Ethiopia","2"
"الأردن","1"
"Nigeria","1"
"Syria","1"
"السودان","1"
"ف مصر. باك اوفيس ل قطر","1"
"Syraia","1"
"Jordan","1"
"موريتانيا","1"
"Oman","1"
"Somalia","1"
"فرنسا","1"
"India","1"
