"Value","Count"
"EGP","1450"
"SAR","342"
"USD","66"
"AED","27"
"KWD","4"
"JOD","4"
"IQD","2"
"دينار لي","2"
"ETB","1"
"NAIRA","1"
"JOR","1"
"UAD","1"
"دينار","1"
"QAR","1"
"DURHAM","1"
"جنية سود","1"
"ARD","1"
"QR","1"
"DRHM","1"
"UAE DIRH","1"
"JD","1"
"OMR","1"
"EURO","1"
"NIS / SH","1"
"UAE","1"
"DINAR","1"
"70% EGP","1"
"YER","1"
"SYR","1"
"INR","1"
