"Value","Present"
"AGRICULTURE","True"
"Agriculture","True"
"Agriculture Engineer","False"
"Agricultural engineering","True"
"Alexandria","True"
"Agricultural Engineering","True"
"Structural","True"
"Mechanical","True"
"Electrical","True"
